2016-05-17 21:47:57,253 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Coronae\Documents\WorkStationJ\M1\Tp1Repa\GlassProducer\src\test\resources
2016-05-17 21:49:34,563 [Worker-18] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-05-17 21:49:35,188 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: GlassProducer:GlassProducer:0.0.1-SNAPSHOT @ C:\Users\Coronae\Documents\WorkStationJ\M1\Tp1Repa\GlassProducer\pom.xml.
2016-05-17 21:49:36,443 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /GlassProducer/src
2016-05-17 21:49:36,443 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /GlassProducer/src/test/java because it overlaps with /GlassProducer/src
2016-05-17 21:49:36,780 [Worker-18] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for GlassProducer
2016-05-17 21:49:36,786 [Worker-18] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 2 sec
2016-05-17 21:49:37,494 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-17 21:49:37,537 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Coronae\Documents\WorkStationJ\M1\Tp1Repa\GlassProducer\src\main\resources
2016-05-17 21:49:37,541 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-17 21:49:37,544 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Coronae\Documents\WorkStationJ\M1\Tp1Repa\GlassProducer\src\test\resources
2016-05-17 21:49:37,545 [Worker-1] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of GlassProducer
2016-05-17 21:49:37,545 [Worker-1] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for GlassProducer
2016-05-17 21:49:37,554 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-17 21:51:31,013 [Worker-1] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-05-17 21:51:31,044 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: common:common:1 @ C:\Users\Coronae\Documents\WorkStationJ\M1\Tp1Repa\common\pom.xml.
2016-05-17 21:51:31,550 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: GlassProducer:GlassProducer:0.0.1-SNAPSHOT @ C:\Users\Coronae\Documents\WorkStationJ\M1\Tp1Repa\GlassProducer\pom.xml.
2016-05-17 21:51:32,304 [Worker-1] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2016-05-17 21:51:32,810 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-17 21:51:32,811 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Coronae\Documents\WorkStationJ\M1\Tp1Repa\GlassProducer\src\main\resources
2016-05-17 21:51:32,812 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-17 21:51:32,813 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Coronae\Documents\WorkStationJ\M1\Tp1Repa\GlassProducer\src\test\resources
